,Date,Open,High,Low,Close,Adj Close,Volume,volume_cmf,volume_em,volume_sma_em,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ichimoku_a,trend_ichimoku_b,momentum_rsi,momentum_stoch,momentum_stoch_signal,Zero,rsi_high,rsi_low,cmf_high,cmf_low,keltner_indicator,bbands_indicator,ichimoku_label,macd_indicator,ease_label,stochastic_label,rsi_label,cmf_label,snp_labels
0,1985-01-29,177.399994,179.190002,176.580002,179.179993,179.179993,115700000,0.9923302681992363,0.0,0.0,179.179993,179.179993,179.179993,0.0,0.0,178.31666566666664,178.31666566666664,175.70666566666668,0.0,0.0,0.0,0.0,0.0,177.885002,177.885002,50.0,99.61651340996181,99.61651340996181,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,1.0
1,1985-01-30,179.179993,180.270004,179.050003,179.389999,179.389999,170000000,0.13848623720997133,1.2738256500008798,1.2738256500008798,179.49500199999997,179.07498999999999,179.28499599999998,0.0,0.0,178.94333383333333,178.94333383333333,177.02833333333336,0.0,0.0,-0.016752615384632463,-0.0033505230769264927,-0.013402092307705971,178.425003,178.425003,100.0,76.15163894220076,87.8840761760813,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,1.0
2,1985-01-31,179.389999,179.830002,178.559998,179.630005,179.630005,132500000,0.3116546913640649,-0.44570287170867406,0.41406138914610285,179.76770431692648,179.03229368307348,179.39999899999998,0.0,0.0,179.07555644444446,179.07555644444446,177.3755547777778,0.0,0.0,-0.04883274863030351,-0.012446968187601899,-0.03638578044270162,178.425003,178.425003,100.0,82.65586305915308,86.14133847043855,0,70,30,0.05,-0.05,1,0.0,0,0,-1,0,0,0,1.0
3,1985-02-01,179.630005,179.630005,178.440002,178.630005,178.630005,105400000,0.11190141589591901,-0.1806416650754359,0.21582703773892328,179.94646834104518,178.46853265895479,179.20750049999998,0.0,0.0,179.03166833333333,179.03166833333333,177.45916633333337,0.0,0.0,0.006361822172976872,-0.008685210115486144,0.015047032288463016,178.425003,178.425003,28.771850152573982,55.55560674492881,71.45436958209423,0,70,30,0.05,-0.05,0,0.0,0,1,0,0,-1,0,1.0
4,1985-02-04,178.630005,180.350006,177.75,180.350006,180.350006,113700000,0.27034611856755564,0.03429972735004826,0.17044521014170452,180.56394788387107,178.30805531612893,179.4360016,0.0,0.0,179.12200213333332,179.12200213333332,177.34399933333336,0.0,0.0,-0.08767512460133275,-0.024483193012655467,-0.06319193158867728,178.46500400000002,178.46500400000002,69.28980919987707,100.0,79.40382326802732,0,70,30,0.05,-0.05,1,0.0,0,-1,1,1,1,0,-1.0
5,1985-02-05,180.350006,181.529999,180.070007,180.610001,180.610001,143900000,0.17260311985594673,1.7755288394718554,0.4914619360077347,180.98293687506796,178.2803994582653,179.63166816666663,0.0,0.0,179.39111327777778,179.39111327777778,177.66611227777778,0.0,0.0,-0.18109199031223966,-0.055804952472572306,-0.12528703783966735,179.0550005,179.0550005,71.89259061330101,81.4141705540429,78.98992576632394,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,-1.0
6,1985-02-06,180.610001,181.5,180.320007,180.429993,180.429993,141000000,0.02182010734072501,0.0920566099265939,0.4248943816608779,181.11583805823022,178.37559108462688,179.74571457142855,0.0,0.0,179.58523995238096,179.58523995238096,177.93809723809525,0.0,0.0,-0.23785850344401638,-0.09221566266686113,-0.14564284077715525,179.0550005,179.0550005,67.61953212382755,77.77764309756131,86.39727121720144,0,70,30,0.05,-0.05,1,0.0,0,0,0,-1,-1,0,1.0
7,1985-02-07,180.429993,181.96000700000002,180.429993,181.820007,181.820007,151700000,0.1341471883008022,0.28744142053461746,0.40525824435712643,181.88250213568213,178.12750011431783,180.00500112499998,0.0,0.0,179.81250191666666,179.81250191666666,178.1800002916667,1.0,0.0,-0.3905073612715171,-0.1518740023877923,-0.23863335888372478,179.27000450000003,179.27000450000003,78.33028426522469,97.39777193515593,85.52986186225341,0,70,30,0.05,-0.05,1,0.0,0,0,0,1,0,1,1.0
8,1985-02-08,181.820007,182.389999,181.669998,182.190002,182.190002,116500000,0.16451571238058263,0.5160512918441931,0.4191073752930098,182.48819354940522,178.00736445059474,180.24777899999998,0.0,0.0,180.06481648148147,180.06481648148147,178.53370381481483,1.0,0.0,-0.5351690890706209,-0.22853301972435802,-0.30663606934626286,179.4850005,179.4850005,80.2070447727076,96.55770906594277,90.57770803288672,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,-1.0
9,1985-02-11,182.190002,182.190002,180.110001,180.509995,180.509995,104000000,0.10185327934747654,-1.7599948461509236,0.17698490624368385,182.40525943479793,178.14274176520206,180.2740006,0.0,0.0,180.15200143333334,180.15200143333334,178.56599993333333,0.0,0.0,-0.5083916041374721,-0.28450473660698083,-0.22388686753049125,179.7775,179.4850005,56.34487307938438,67.64191100270807,87.19913066793565,0,70,30,0.05,-0.05,1,0.0,0,0,-1,-1,-1,0,-1.0
10,1985-02-12,180.509995,180.75,179.449997,180.559998,180.559998,111100000,0.1497426063818198,-1.228629207928901,0.03642349482642537,182.338718249534,178.26128247773875,180.30000036363637,0.0,0.0,180.3456680333333,180.3456680333333,178.89066623333335,0.0,0.0,-0.4856072999404262,-0.3247252492736699,-0.16088205066675626,179.7775,179.4850005,56.75723688697212,68.50254828014563,77.56738944959888,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,0.0
11,1985-02-13,180.559998,183.860001,180.5,183.350006,183.350006,142500000,0.20006766258392308,4.904427228071613,0.4789692887578061,183.13340139036544,177.97493360963452,180.55416749999998,1.0,0.0,180.64566806666667,180.64566806666667,178.97666626666668,1.0,0.0,-0.684787103775335,-0.39673762017400294,-0.2880494836013321,180.51250100000001,180.22000150000002,72.41460043363527,92.99457321354024,76.37967749879802,0,70,30,0.05,-0.05,1,1.0,0,0,1,1,0,0,0.0
12,1985-02-14,183.350006,183.949997,182.389999,182.41000400000001,182.41000400000001,139700000,0.10285459090378432,1.1055076020078647,0.5311808148619775,183.36505738137757,178.0287909263147,180.69692415384614,0.0,0.0,181.00333456666667,181.00333456666667,179.30533336666667,0.0,0.0,-0.7580499004691035,-0.4690000762330231,-0.2890498242360804,180.557499,180.2649995,64.00582573811246,79.10455841557581,80.20055996975394,0,70,30,0.05,-0.05,1,0.0,0,0,0,-1,-1,0,-1.0
