,Date,Open,High,Low,Close,Adj Close,Volume,volume_cmf,volume_em,volume_sma_em,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ichimoku_a,trend_ichimoku_b,momentum_rsi,momentum_stoch,momentum_stoch_signal,Zero,rsi_high,rsi_low,cmf_high,cmf_low,keltner_indicator,bbands_indicator,ichimoku_label,macd_indicator,ease_label,stochastic_label,rsi_label,cmf_label,dow_labels
27,3/8/1985,1273.410034,1280.810059,1264.130005,1269.660034,1269.660034,9120000,-0.06256905905280831,-343.83288483498046,-204.0939018300416,1298.5414065664932,1267.459606633507,1283.0005066,0.0,0.0,1283.3450114000002,1283.3450114000002,1263.2030067999997,0.0,0.0,2.4499525142118728,1.4408204473629111,1.0091320668489616,1286.9899902500001,1286.9349975,40.277438869899335,12.486447589808334,21.59247433045155,0,70,30,0.05,-0.05,0,0.0,0,0,0,0,0,-1,0.0
28,3/11/1985,1268.77002,1277.050049,1260.930054,1268.550049,1268.550049,7710000,-0.06807473405146314,-727.5910280168317,-178.91128842641257,1298.3301171762482,1265.5289038237524,1281.9295105000003,0.0,0.0,1282.7446818333333,1282.7446818333333,1262.912674833333,0.0,0.0,3.298502029040492,1.8123567636984275,1.4861452653420644,1285.4450075,1285.4450075,39.68206723432786,15.54152448219003,14.858406238614059,0,70,30,0.05,-0.05,0,0.0,0,0,0,1,0,0,1.0
29,3/12/1985,1267.560059,1279.47998,1262.47998,1271.75,1271.75,8340000,-0.04399707077113488,405.6209172662141,-177.06178019320026,1298.5255669031628,1264.902448196838,1281.7140075500004,0.0,0.0,1281.4816772333334,1281.4816772333334,1262.0366697333332,0.0,0.0,3.670463511837397,2.1839781133262215,1.4864853985111757,1285.4450075,1285.4450075,42.32871894341745,22.068053280215384,16.698675117404594,0,70,30,0.05,-0.05,0,0.0,0,0,1,0,0,0,1.0
30,3/13/1985,1270.97998,1278.27002,1257.619995,1261.699951,1261.699951,8840000,-0.08384850432703488,-708.9621945623777,-195.87532258796767,1299.818113788237,1262.1188979117637,1280.9685058500004,0.0,1.0,1279.7113403333333,1279.7113403333333,1260.288329933333,0.0,0.0,4.721770992526217,2.6915366891662207,2.0302343033599963,1283.789978,1283.789978,36.85857867370609,7.795106324677471,15.134894695694305,0,70,30,0.05,-0.05,0,-1.0,0,0,-1,-1,0,-1,1.0
31,3/14/1985,1258.719971,1269.209961,1254.199951,1260.050049,1260.050049,7950000,-0.13453455591158886,-1178.153904597658,-257.76388135453703,1298.3366724993311,1259.8133397006695,1279.0750061000003,0.0,0.0,1277.7016723666666,1277.7016723666666,1258.4676511666664,0.0,0.0,5.623251702552807,3.277879691843538,2.345372010709269,1280.727478,1282.079956,36.03526429004827,10.491565550292929,13.451575051728605,0,70,30,0.05,-0.05,0,0.0,0,0,0,0,0,0,-1.0
32,3/15/1985,1259.719971,1266.890015,1245.140015,1247.349976,1247.349976,11280000,-0.13593911989760693,-1097.1295811170387,-258.6829927220758,1300.2944691560192,1253.8025401439818,1277.0485046500005,0.0,1.0,1273.2806763333333,1273.2806763333333,1254.598657133333,0.0,1.0,7.27856860411157,4.078017474297145,3.200551129814425,1275.06500275,1277.549988,30.405261465158464,3.4093842040535156,7.2320186930079835,0,70,30,0.05,-0.05,-1,-1.0,0,0,0,0,0,0,0.0
33,3/18/1985,1252.650024,1260.930054,1242.819946,1249.670044,1249.670044,8270000,-0.1311649545520377,-906.6036127160636,-438.90547463361287,1301.4095062855672,1249.4525054144337,1275.4310058500005,0.0,0.0,1269.1543416999998,1269.1543416999998,1250.8033160999998,0.0,1.0,8.307446010129524,4.92390318146362,3.383542828665904,1273.13247675,1276.3899535,32.48059863460347,10.20270549537395,8.03455174990681,0,70,30,0.05,-0.05,-1,0.0,0,0,0,1,0,0,-1.0
34,3/19/1985,1249.01001,1274.180054,1245.689941,1271.089966,1271.089966,8990000,-0.09446688751856205,2554.285200831106,-282.63754709834126,1300.887182767193,1249.024828932808,1274.9560058500006,0.0,0.0,1266.4230062333331,1266.4230062333331,1247.1219684333332,0.0,0.0,7.310163066011,5.401155158373096,1.9090079076379043,1269.70996075,1276.3899535,47.921498062765124,42.106067447259214,18.572719048895568,0,70,30,0.05,-0.05,1,0.0,0,0,1,0,0,0,-1.0
35,3/20/1985,1271.530029,1277.390015,1257.839966,1265.23999,1265.23999,10540000,-0.11092176215144961,1424.5184010403789,-112.70122564636397,1300.0373159693918,1248.085694230609,1274.0615051000004,0.0,0.0,1264.6783366333334,1264.6783366333334,1245.5642983333332,0.0,0.0,6.912174080550358,5.703358942808549,1.2088151377418086,1269.102478,1276.3899535,44.901375687230725,33.39296841086494,28.56724711783271,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,0.0
36,3/21/1985,1263.800049,1278.930054,1257.619995,1268.219971,1268.219971,9630000,-0.10560602646991239,146.0577723988147,-319.8647739660102,1299.5097216916959,1247.5312817083047,1273.5205017000003,0.0,0.0,1264.1630046333335,1264.1630046333335,1244.695963333333,0.0,0.0,6.283868851707439,5.819460924588327,0.4644079271191117,1268.76995825,1276.3899535,46.74264716198646,41.14690202282664,38.881979293650275,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,0.0
